track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
4HOryCnbme0zBnF8LWij3f,Billie Eilish,,Getting Older,72.0,0,False,0.599,0.128,10.0,0.0,1.0,0.109,0.974,0.121,0.115,0.367,159.679,4.0,"['art pop', 'pop']"
1XjHRolIXL2M1EEOUsGGR4,Taylor Swift,,cowboy like me,68.0,0,False,0.604,0.517,0.0,0.0,1.0,0.0347,0.768,0.000155,0.123,0.511,127.967,4.0,['pop']
5LBxMvApPk3HdsQdi6DT9L,BLACKPINK,,STAY,0.0,0,False,0.628,0.433,1.0,0.0,1.0,0.0383,0.569,7.71e-06,0.104,0.343,88.074,4.0,"['k-pop', 'k-pop girl group', 'pop']"
2MvvoeRt8NcOXWESkxWn3g,Lorde,,Ribs,78.0,0,False,0.511,0.472,4.0,0.0,1.0,0.091,0.534,0.614,0.11,0.0399,127.978,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
6aLOekfwbytwWvQftxTEF0,Taylor Swift,,All You Had To Do Was Stay,49.0,0,False,0.605,0.725,5.0,0.0,1.0,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,4.0,['pop']
5LYMamLv12UPbemOaTPyeV,Harry Styles,,Music For a Sushi Restaurant,74.0,0,False,0.72,0.715,11.0,0.0,1.0,0.04,0.258,0.0568,0.107,0.357,107.041,4.0,['pop']
0hyImI8JaWONOrzKH7kJsC,Lana Del Rey,,Tulsa Jesus Freak,66.0,0,False,0.387,0.339,2.0,0.0,0.0,0.0489,0.918,0.00272,0.13,0.273,137.199,4.0,"['art pop', 'pop']"
6PERP62TejQjgHu81OHxgM,Olivia Rodrigo,,good 4 u,21.0,0,False,0.556,0.661,6.0,0.0,0.0,0.204,0.3,0.0,0.101,0.668,168.56,4.0,['pop']
5CSKbHjpqborGnlzagyaDo,Dua Lipa,,Love Again,67.0,0,False,0.659,0.667,11.0,0.0,0.0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,4.0,"['dance pop', 'pop', 'uk pop']"
3RIgHHpnFKj5Rni1shokDj,Lana Del Rey,,Norman fucking Rockwell,76.0,0,False,0.215,0.203,5.0,0.0,1.0,0.0346,0.968,0.0585,0.0923,0.143,78.287,1.0,"['art pop', 'pop']"
5RaBeejGtdPEszYEKYECs2,Taylor Swift,,Love Story (Taylor's Version) - Elvira Remix,54.0,0,False,0.669,0.56,11.0,0.0,0.0,0.0352,0.00215,3.23e-05,0.264,0.155,123.068,4.0,['pop']
5sp71CUt0jXRNqHblPGp7b,Olivia Rodrigo,,ballad of a homeschooled girl,75.0,0,False,0.385,0.873,1.0,0.0,1.0,0.069,0.0557,0.0,0.353,0.469,120.393,4.0,['pop']
