track_genre,danceability,energy,valence,acousticness,tempo
acoustic,0.55,0.435,0.424,0.567,119.011
afrobeat,0.67,0.703,0.699,0.271,119.213
alt-rock,0.534,0.754,0.518,0.122,124.634
alternative,0.56,0.72,0.496,0.148,122.232
ambient,0.368,0.237,0.167,0.777,111.113
anime,0.537,0.674,0.434,0.268,123.53
black-metal,0.296,0.875,0.192,0.027,128.602
bluegrass,0.535,0.53,0.635,0.557,126.579
blues,0.569,0.582,0.604,0.398,116.568
brazil,0.563,0.621,0.47,0.332,121.936
breakbeat,0.646,0.853,0.475,0.031,133.03
british,0.501,0.507,0.44,0.428,118.829
cantopop,0.548,0.462,0.394,0.536,124.277
chicago-house,0.766,0.733,0.587,0.035,123.923
children,0.716,0.495,0.694,0.499,123.341
chill,0.664,0.427,0.404,0.534,115.479
classical,0.382,0.19,0.381,0.92,107.95
club,0.603,0.722,0.368,0.159,123.301
comedy,0.577,0.7,0.455,0.726,100.996
country,0.555,0.597,0.521,0.321,123.963
dance,0.688,0.709,0.553,0.131,120.128
dancehall,0.734,0.685,0.629,0.215,112.91
death-metal,0.368,0.931,0.248,0.007,123.779
deep-house,0.71,0.742,0.447,0.101,120.875
detroit-techno,0.723,0.711,0.469,0.066,126.592
disco,0.677,0.738,0.671,0.166,121.974
disney,0.463,0.303,0.369,0.743,112.061
drum-and-bass,0.535,0.877,0.321,0.026,155.242
dub,0.575,0.715,0.387,0.122,129.451
dubstep,0.518,0.759,0.272,0.114,133.632
edm,0.648,0.756,0.465,0.114,122.037
electro,0.652,0.665,0.467,0.228,120.835
electronic,0.653,0.695,0.392,0.177,122.948
emo,0.599,0.67,0.441,0.195,126.993
folk,0.559,0.546,0.491,0.475,118.47
forro,0.65,0.79,0.761,0.398,140.362
french,0.651,0.595,0.43,0.35,117.82
funk,0.678,0.633,0.6,0.3,117.756
garage,0.484,0.744,0.518,0.168,127.048
german,0.524,0.532,0.379,0.382,117.503
gospel,0.473,0.576,0.321,0.377,125.625
goth,0.479,0.741,0.444,0.164,124.268
grindcore,0.272,0.924,0.216,0.009,119.23
groove,0.584,0.764,0.426,0.132,123.739
grunge,0.457,0.803,0.4,0.053,129.349
guitar,0.54,0.325,0.432,0.773,112.0
happy,0.553,0.911,0.327,0.057,152.909
hard-rock,0.482,0.795,0.514,0.09,125.382
hardcore,0.546,0.842,0.496,0.065,125.376
hardstyle,0.539,0.901,0.312,0.051,146.837
heavy-metal,0.428,0.874,0.388,0.015,126.614
hip-hop,0.736,0.683,0.551,0.194,116.77
honky-tonk,0.571,0.367,0.632,0.712,116.557
house,0.669,0.755,0.495,0.109,121.107
idm,0.528,0.555,0.303,0.378,123.297
indian,0.592,0.567,0.463,0.485,116.143
indie,0.587,0.556,0.468,0.38,119.093
indie-pop,0.604,0.561,0.461,0.372,120.179
industrial,0.53,0.862,0.425,0.037,126.831
iranian,0.301,0.546,0.154,0.411,114.769
j-dance,0.681,0.704,0.564,0.23,114.916
j-idol,0.549,0.869,0.578,0.152,136.112
j-pop,0.552,0.68,0.542,0.282,124.613
j-rock,0.509,0.761,0.538,0.169,128.522
jazz,0.51,0.353,0.49,0.716,112.636
k-pop,0.648,0.676,0.557,0.293,119.244
kids,0.779,0.613,0.681,0.239,121.751
latin,0.722,0.727,0.631,0.183,119.812
latino,0.757,0.732,0.63,0.172,119.385
malay,0.629,0.578,0.502,0.404,119.315
mandopop,0.547,0.498,0.35,0.48,123.476
metal,0.464,0.84,0.418,0.037,127.907
metalcore,0.424,0.914,0.315,0.01,130.58
minimal-techno,0.729,0.68,0.284,0.071,124.748
mpb,0.574,0.58,0.556,0.421,120.161
new-age,0.348,0.215,0.183,0.824,107.959
opera,0.314,0.317,0.215,0.795,105.585
pagode,0.578,0.712,0.688,0.538,126.859
party,0.667,0.871,0.681,0.093,131.3
piano,0.455,0.32,0.313,0.705,118.085
pop,0.63,0.606,0.506,0.344,120.927
pop-film,0.597,0.605,0.529,0.441,117.257
power-pop,0.473,0.802,0.615,0.086,134.652
progressive-house,0.624,0.813,0.365,0.061,125.094
psych-rock,0.503,0.562,0.565,0.315,121.573
punk,0.5,0.81,0.556,0.089,133.601
punk-rock,0.507,0.81,0.567,0.083,132.219
r-n-b,0.614,0.638,0.633,0.371,124.039
reggae,0.745,0.726,0.648,0.176,119.868
reggaeton,0.759,0.739,0.643,0.165,118.872
rock,0.544,0.679,0.539,0.209,126.321
rock-n-roll,0.55,0.527,0.67,0.553,120.39
rockabilly,0.561,0.659,0.727,0.447,123.661
romance,0.432,0.294,0.393,0.869,109.693
sad,0.692,0.462,0.422,0.474,119.065
salsa,0.668,0.725,0.815,0.469,119.915
samba,0.575,0.673,0.693,0.49,118.122
sertanejo,0.592,0.71,0.619,0.437,127.052
show-tunes,0.464,0.399,0.379,0.637,114.372
singer-songwriter,0.562,0.434,0.414,0.553,119.737
ska,0.581,0.793,0.697,0.122,128.338
sleep,0.168,0.342,0.058,0.657,84.619
songwriter,0.562,0.434,0.414,0.553,119.737
soul,0.6,0.534,0.523,0.402,114.629
spanish,0.604,0.708,0.548,0.269,122.832
study,0.685,0.411,0.403,0.531,111.764
swedish,0.59,0.622,0.533,0.324,121.095
synth-pop,0.621,0.713,0.586,0.152,122.85
tango,0.538,0.373,0.584,0.846,114.554
techno,0.684,0.746,0.322,0.081,128.255
trance,0.583,0.845,0.277,0.036,133.277
trip-hop,0.635,0.622,0.478,0.226,118.744
turkish,0.616,0.61,0.462,0.321,120.368
world-music,0.415,0.533,0.25,0.3,121.394
